feature_path,emotion,split
features_logmel\train\0.npy,happy,train
features_logmel\train\1.npy,sad,train
features_logmel\train\2.npy,neutral,train
features_logmel\train\3.npy,sad,train
features_logmel\train\4.npy,happy,train
features_logmel\train\5.npy,sad,train
features_logmel\train\6.npy,sad,train
features_logmel\train\7.npy,sad,train
features_logmel\train\8.npy,neutral,train
features_logmel\train\9.npy,angry,train
features_logmel\train\10.npy,angry,train
features_logmel\train\11.npy,angry,train
features_logmel\train\12.npy,happy,train
features_logmel\train\13.npy,sad,train
features_logmel\train\14.npy,happy,train
features_logmel\train\15.npy,neutral,train
features_logmel\train\16.npy,angry,train
features_logmel\train\17.npy,neutral,train
features_logmel\train\18.npy,angry,train
features_logmel\train\19.npy,neutral,train
features_logmel\train\20.npy,sad,train
features_logmel\train\21.npy,neutral,train
features_logmel\train\22.npy,neutral,train
features_logmel\train\23.npy,angry,train
features_logmel\train\24.npy,happy,train
features_logmel\train\25.npy,neutral,train
features_logmel\train\26.npy,neutral,train
features_logmel\train\27.npy,neutral,train
features_logmel\train\28.npy,sad,train
features_logmel\train\29.npy,neutral,train
features_logmel\train\30.npy,neutral,train
features_logmel\train\31.npy,neutral,train
features_logmel\train\32.npy,angry,train
features_logmel\train\33.npy,angry,train
features_logmel\train\34.npy,neutral,train
features_logmel\train\35.npy,neutral,train
features_logmel\train\36.npy,sad,train
features_logmel\train\37.npy,sad,train
features_logmel\train\38.npy,sad,train
features_logmel\train\39.npy,happy,train
features_logmel\train\40.npy,neutral,train
features_logmel\train\41.npy,angry,train
features_logmel\train\42.npy,sad,train
features_logmel\train\43.npy,angry,train
features_logmel\train\44.npy,sad,train
features_logmel\train\45.npy,sad,train
features_logmel\train\46.npy,neutral,train
features_logmel\train\47.npy,neutral,train
features_logmel\train\48.npy,happy,train
features_logmel\train\49.npy,neutral,train
features_logmel\train\50.npy,angry,train
features_logmel\train\51.npy,neutral,train
features_logmel\train\52.npy,angry,train
features_logmel\train\53.npy,happy,train
features_logmel\train\54.npy,happy,train
features_logmel\train\55.npy,sad,train
features_logmel\train\56.npy,angry,train
features_logmel\train\57.npy,happy,train
features_logmel\train\58.npy,happy,train
features_logmel\train\59.npy,neutral,train
features_logmel\train\60.npy,sad,train
features_logmel\train\61.npy,neutral,train
features_logmel\train\62.npy,sad,train
features_logmel\train\63.npy,sad,train
features_logmel\train\64.npy,neutral,train
features_logmel\train\65.npy,neutral,train
features_logmel\train\66.npy,happy,train
features_logmel\train\67.npy,angry,train
features_logmel\train\68.npy,sad,train
features_logmel\train\69.npy,neutral,train
features_logmel\train\70.npy,angry,train
features_logmel\train\71.npy,happy,train
features_logmel\train\72.npy,neutral,train
features_logmel\train\73.npy,neutral,train
features_logmel\train\74.npy,happy,train
features_logmel\train\75.npy,happy,train
features_logmel\train\76.npy,angry,train
features_logmel\train\77.npy,angry,train
features_logmel\train\78.npy,happy,train
features_logmel\train\79.npy,sad,train
features_logmel\train\80.npy,angry,train
features_logmel\train\81.npy,sad,train
features_logmel\train\82.npy,angry,train
features_logmel\train\83.npy,neutral,train
features_logmel\train\84.npy,neutral,train
features_logmel\train\85.npy,neutral,train
features_logmel\train\86.npy,happy,train
features_logmel\train\87.npy,sad,train
features_logmel\train\88.npy,sad,train
features_logmel\train\89.npy,neutral,train
features_logmel\train\90.npy,angry,train
features_logmel\train\91.npy,sad,train
features_logmel\train\92.npy,sad,train
features_logmel\train\93.npy,angry,train
features_logmel\train\94.npy,happy,train
features_logmel\train\95.npy,sad,train
features_logmel\train\96.npy,neutral,train
features_logmel\train\97.npy,neutral,train
features_logmel\train\98.npy,neutral,train
features_logmel\train\99.npy,angry,train
features_logmel\train\100.npy,angry,train
features_logmel\train\101.npy,neutral,train
features_logmel\train\102.npy,happy,train
features_logmel\train\103.npy,sad,train
features_logmel\train\104.npy,neutral,train
features_logmel\train\105.npy,angry,train
features_logmel\train\106.npy,sad,train
features_logmel\train\107.npy,sad,train
features_logmel\train\108.npy,neutral,train
features_logmel\train\109.npy,happy,train
features_logmel\train\110.npy,neutral,train
features_logmel\train\111.npy,happy,train
features_logmel\train\112.npy,angry,train
features_logmel\train\113.npy,neutral,train
features_logmel\train\114.npy,angry,train
features_logmel\train\115.npy,angry,train
features_logmel\train\116.npy,angry,train
features_logmel\train\117.npy,neutral,train
features_logmel\train\118.npy,sad,train
features_logmel\train\119.npy,angry,train
features_logmel\train\120.npy,neutral,train
features_logmel\train\121.npy,neutral,train
features_logmel\train\122.npy,sad,train
features_logmel\train\123.npy,sad,train
features_logmel\train\124.npy,happy,train
features_logmel\train\125.npy,angry,train
features_logmel\train\126.npy,angry,train
features_logmel\train\127.npy,sad,train
features_logmel\train\128.npy,happy,train
features_logmel\train\129.npy,sad,train
features_logmel\train\130.npy,neutral,train
features_logmel\train\131.npy,angry,train
features_logmel\train\132.npy,neutral,train
features_logmel\train\133.npy,happy,train
features_logmel\train\134.npy,sad,train
features_logmel\train\135.npy,neutral,train
features_logmel\train\136.npy,angry,train
features_logmel\train\137.npy,sad,train
features_logmel\train\138.npy,happy,train
features_logmel\train\139.npy,neutral,train
features_logmel\train\140.npy,neutral,train
features_logmel\train\141.npy,neutral,train
features_logmel\train\142.npy,happy,train
features_logmel\train\143.npy,sad,train
features_logmel\train\144.npy,neutral,train
features_logmel\train\145.npy,happy,train
features_logmel\train\146.npy,neutral,train
features_logmel\train\147.npy,sad,train
features_logmel\train\148.npy,neutral,train
features_logmel\train\149.npy,sad,train
features_logmel\train\150.npy,angry,train
features_logmel\train\151.npy,happy,train
features_logmel\train\152.npy,neutral,train
features_logmel\train\153.npy,neutral,train
features_logmel\train\154.npy,sad,train
features_logmel\train\155.npy,neutral,train
features_logmel\train\156.npy,happy,train
features_logmel\train\157.npy,neutral,train
features_logmel\train\158.npy,sad,train
features_logmel\train\159.npy,happy,train
features_logmel\train\160.npy,happy,train
features_logmel\train\161.npy,neutral,train
features_logmel\train\162.npy,angry,train
features_logmel\train\163.npy,happy,train
features_logmel\train\164.npy,sad,train
features_logmel\train\165.npy,angry,train
features_logmel\train\166.npy,neutral,train
features_logmel\train\167.npy,sad,train
features_logmel\train\168.npy,sad,train
features_logmel\train\169.npy,angry,train
features_logmel\train\170.npy,sad,train
features_logmel\train\171.npy,angry,train
features_logmel\train\172.npy,happy,train
features_logmel\train\173.npy,sad,train
features_logmel\train\174.npy,neutral,train
features_logmel\train\175.npy,sad,train
features_logmel\train\176.npy,happy,train
features_logmel\train\177.npy,neutral,train
features_logmel\train\178.npy,sad,train
features_logmel\train\179.npy,sad,train
features_logmel\train\180.npy,sad,train
features_logmel\train\181.npy,happy,train
features_logmel\train\182.npy,sad,train
features_logmel\train\183.npy,happy,train
features_logmel\train\184.npy,neutral,train
features_logmel\train\185.npy,angry,train
features_logmel\train\186.npy,sad,train
features_logmel\train\187.npy,angry,train
features_logmel\train\188.npy,angry,train
features_logmel\train\189.npy,neutral,train
features_logmel\train\190.npy,neutral,train
features_logmel\train\191.npy,neutral,train
features_logmel\train\192.npy,sad,train
features_logmel\train\193.npy,sad,train
features_logmel\train\194.npy,sad,train
features_logmel\train\195.npy,happy,train
features_logmel\train\196.npy,angry,train
features_logmel\train\197.npy,sad,train
features_logmel\train\198.npy,angry,train
features_logmel\train\199.npy,neutral,train
features_logmel\train\200.npy,angry,train
features_logmel\train\201.npy,angry,train
features_logmel\train\202.npy,happy,train
features_logmel\train\203.npy,angry,train
features_logmel\train\204.npy,neutral,train
features_logmel\train\205.npy,sad,train
features_logmel\train\206.npy,neutral,train
features_logmel\train\207.npy,neutral,train
features_logmel\train\208.npy,happy,train
features_logmel\train\209.npy,neutral,train
features_logmel\train\210.npy,neutral,train
features_logmel\train\211.npy,happy,train
features_logmel\train\212.npy,sad,train
features_logmel\train\213.npy,sad,train
features_logmel\train\214.npy,happy,train
features_logmel\train\215.npy,angry,train
features_logmel\train\216.npy,happy,train
features_logmel\train\217.npy,neutral,train
features_logmel\train\218.npy,sad,train
features_logmel\train\219.npy,sad,train
features_logmel\train\220.npy,angry,train
features_logmel\train\221.npy,neutral,train
features_logmel\train\222.npy,happy,train
features_logmel\train\223.npy,happy,train
features_logmel\train\224.npy,angry,train
features_logmel\train\225.npy,sad,train
features_logmel\train\226.npy,happy,train
features_logmel\train\227.npy,neutral,train
features_logmel\train\228.npy,sad,train
features_logmel\train\229.npy,neutral,train
features_logmel\train\230.npy,angry,train
features_logmel\train\231.npy,neutral,train
features_logmel\train\232.npy,sad,train
features_logmel\train\233.npy,angry,train
features_logmel\train\234.npy,happy,train
features_logmel\train\235.npy,neutral,train
features_logmel\train\236.npy,sad,train
features_logmel\train\237.npy,neutral,train
features_logmel\train\238.npy,happy,train
features_logmel\train\239.npy,happy,train
features_logmel\train\240.npy,neutral,train
features_logmel\train\241.npy,neutral,train
features_logmel\train\242.npy,angry,train
features_logmel\train\243.npy,happy,train
features_logmel\train\244.npy,happy,train
features_logmel\train\245.npy,sad,train
features_logmel\train\246.npy,neutral,train
features_logmel\train\247.npy,happy,train
features_logmel\train\248.npy,neutral,train
features_logmel\train\249.npy,angry,train
features_logmel\train\250.npy,sad,train
features_logmel\train\251.npy,neutral,train
features_logmel\train\252.npy,neutral,train
features_logmel\train\253.npy,angry,train
features_logmel\train\254.npy,happy,train
features_logmel\train\255.npy,happy,train
features_logmel\train\256.npy,happy,train
features_logmel\train\257.npy,happy,train
features_logmel\train\258.npy,angry,train
features_logmel\train\259.npy,sad,train
features_logmel\train\260.npy,neutral,train
features_logmel\train\261.npy,happy,train
features_logmel\train\262.npy,sad,train
features_logmel\train\263.npy,sad,train
features_logmel\train\264.npy,neutral,train
features_logmel\train\265.npy,neutral,train
features_logmel\train\266.npy,neutral,train
features_logmel\train\267.npy,neutral,train
features_logmel\train\268.npy,happy,train
features_logmel\train\269.npy,sad,train
features_logmel\train\270.npy,neutral,train
features_logmel\train\271.npy,neutral,train
features_logmel\train\272.npy,neutral,train
features_logmel\train\273.npy,happy,train
features_logmel\train\274.npy,sad,train
features_logmel\train\275.npy,neutral,train
features_logmel\train\276.npy,neutral,train
features_logmel\train\277.npy,neutral,train
features_logmel\train\278.npy,happy,train
features_logmel\train\279.npy,happy,train
features_logmel\train\280.npy,neutral,train
features_logmel\train\281.npy,happy,train
features_logmel\train\282.npy,angry,train
features_logmel\train\283.npy,angry,train
features_logmel\train\284.npy,neutral,train
features_logmel\train\285.npy,neutral,train
features_logmel\train\286.npy,neutral,train
features_logmel\train\287.npy,sad,train
features_logmel\train\288.npy,sad,train
features_logmel\train\289.npy,happy,train
features_logmel\train\290.npy,happy,train
features_logmel\train\291.npy,angry,train
features_logmel\train\292.npy,happy,train
features_logmel\train\293.npy,neutral,train
features_logmel\train\294.npy,neutral,train
features_logmel\train\295.npy,neutral,train
features_logmel\train\296.npy,happy,train
features_logmel\train\297.npy,angry,train
features_logmel\train\298.npy,sad,train
features_logmel\train\299.npy,angry,train
features_logmel\train\300.npy,neutral,train
features_logmel\train\301.npy,neutral,train
features_logmel\train\302.npy,angry,train
features_logmel\train\303.npy,sad,train
features_logmel\train\304.npy,neutral,train
features_logmel\train\305.npy,sad,train
features_logmel\train\306.npy,angry,train
features_logmel\train\307.npy,sad,train
features_logmel\train\308.npy,happy,train
features_logmel\train\309.npy,neutral,train
features_logmel\train\310.npy,happy,train
features_logmel\train\311.npy,happy,train
