filepath,dataset,speaker_id,emotion_raw,emotion,split
C:\Code\Python\data\CREMA-D\AudioWAV\1074_TAI_HAP_XX.wav,CREMA-D,1074,HAP,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_M001.wav,IEMOCAP,Ses01F,sad,sad,train
C:\Code\Python\data\RAVDESS\audio_speech_actors_01-24\Actor_24\03-01-02-01-02-01-24.wav,RAVDESS,24,02,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1021_TSI_SAD_XX.wav,CREMA-D,1021,SAD,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session5\sentences\wav\Ses05F_impro03\Ses05F_impro03_F054.wav,IEMOCAP,Ses05F,hap,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1038_ITS_SAD_XX.wav,CREMA-D,1038,SAD,sad,train
C:\Code\Python\data\CREMA-D\AudioWAV\1069_DFA_SAD_XX.wav,CREMA-D,1069,SAD,sad,train
C:\Code\Python\data\CREMA-D\AudioWAV\1039_IEO_SAD_LO.wav,CREMA-D,1039,SAD,sad,train
C:\Code\Python\data\RAVDESS\audio_speech_actors_01-24\Actor_04\03-01-02-01-02-01-04.wav,RAVDESS,04,02,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1058_TAI_ANG_XX.wav,CREMA-D,1058,ANG,angry,train
C:\Code\Python\data\RAVDESS\audio_speech_actors_01-24\Actor_08\03-01-05-01-02-01-08.wav,RAVDESS,08,05,angry,train
C:\Code\Python\data\CREMA-D\AudioWAV\1084_IEO_ANG_MD.wav,CREMA-D,1084,ANG,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session1\sentences\wav\Ses01M_script02_1\Ses01M_script02_1_M016.wav,IEMOCAP,Ses01M,exc,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1066_WSI_SAD_XX.wav,CREMA-D,1066,SAD,sad,train
C:\Code\Python\data\RAVDESS\Actor_20\03-01-03-02-01-02-20.wav,RAVDESS,20,03,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1021_IEO_NEU_XX.wav,CREMA-D,1021,NEU,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1070_MTI_ANG_XX.wav,CREMA-D,1070,ANG,angry,train
C:\Code\Python\data\CREMA-D\AudioWAV\1009_WSI_NEU_XX.wav,CREMA-D,1009,NEU,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1033_TAI_ANG_XX.wav,CREMA-D,1033,ANG,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_script02_2\Ses01F_script02_2_M017.wav,IEMOCAP,Ses01F,neu,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1009_IOM_SAD_XX.wav,CREMA-D,1009,SAD,sad,train
C:\Code\Python\data\CREMA-D\AudioWAV\1045_WSI_NEU_XX.wav,CREMA-D,1045,NEU,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session1\sentences\wav\Ses01M_script02_1\Ses01M_script02_1_M037.wav,IEMOCAP,Ses01M,neu,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1074_DFA_ANG_XX.wav,CREMA-D,1074,ANG,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session5\sentences\wav\Ses05F_impro07\Ses05F_impro07_F035.wav,IEMOCAP,Ses05F,exc,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1074_DFA_NEU_XX.wav,CREMA-D,1074,NEU,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session5\sentences\wav\Ses05F_impro04\Ses05F_impro04_M029.wav,IEMOCAP,Ses05F,neu,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03F_script01_1\Ses03F_script01_1_M031.wav,IEMOCAP,Ses03F,neu,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1028_MTI_SAD_XX.wav,CREMA-D,1028,SAD,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03F_script02_2\Ses03F_script02_2_M001.wav,IEMOCAP,Ses03F,neu,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1023_ITS_NEU_XX.wav,CREMA-D,1023,NEU,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04F_impro03\Ses04F_impro03_M018.wav,IEMOCAP,Ses04F,neu,neutral,train
